detector,budget,precision,recall,f1,tp,fp,fn
wcc_baseline,0,0.997,1.0,0.9984,10.0,0.0333,0.0
adaptive_thresh,0,0.997,1.0,0.9984,10.0,0.0333,0.0
multi_signal,0,0.997,1.0,0.9984,10.0,0.0333,0.0
wcc_baseline,10,0.9533,0.95,0.9516,9.5,0.4667,0.5
adaptive_thresh,10,0.9533,0.95,0.9516,9.5,0.4667,0.5
multi_signal,10,0.9593,0.95,0.9544,9.5,0.4,0.5
wcc_baseline,20,0.7306,0.66,0.6921,6.6,2.5,3.4
adaptive_thresh,20,0.7306,0.66,0.6921,6.6,2.5,3.4
multi_signal,20,0.7479,0.66,0.6996,6.6,2.3,3.4
wcc_baseline,30,0.516,0.3133,0.3878,3.1333,3.0333,6.8667
adaptive_thresh,30,0.516,0.3133,0.3878,3.1333,3.0333,6.8667
multi_signal,30,0.5519,0.3133,0.397,3.1333,2.6667,6.8667
wcc_baseline,40,0.2472,0.05,0.0822,0.5,1.7667,9.5
adaptive_thresh,40,0.2472,0.05,0.0822,0.5,1.7667,9.5
multi_signal,40,0.2639,0.05,0.0827,0.5,1.5667,9.5
wcc_baseline,50,0.0,0.0,0.0,0.0,0.0,10.0
adaptive_thresh,50,0.0,0.0,0.0,0.0,0.0,10.0
multi_signal,50,0.0,0.0,0.0,0.0,0.0,10.0
